study_id,reference,title,year,environmental_context,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_comparison,n_control,n_intervention,sample_size_replication,binary_outcome,ATE,Robust_SE,significance_binary,llm_ATE,llm_Robust_SE,llm_p_value
Paunov_3,Paunov & Gr端ne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. boost (cumulative electricity, kWh)",43,21,22,,0,-0.2458,0.1954,0,0.0016,0.5669,0.9978
Paunov_4,Paunov & Gr端ne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. nudge (cumulative hot water, cubic meters)",43,21,22,,0,0.001,0.011,0,0.0918,0.0249,0.0008
Paunov_5,Paunov & Gr端ne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","nudge vs. boost (cumulative hot water, cubic meters)",44,22,22,,0,-0.001,0.0092,0,0.0151,0.0257,0.5606
Paunov_6,Paunov & Gr端ne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. boost (cumulative hot water, cubic meters)",43,21,22,,0,0,0.0111,0,0.1069,0.0193,1.95E-06
Vivek_1,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your Water Usage were as follows:
Last week: {user_last_value} liters/day
Week before last: {user_week_before_last_value} liters/day
Previous average: {user_previous_average_value} liters/day",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T1 (during, liters)",60,30,30,120,0,-3.352,11.11,0,10.1317,2.9837,0.0008
Vivek_2,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T1 (cooling off, liters)",60,30,30,,0,-21.28,13.07,0,8.0075,1.949,4.46E-05
Vivek_3,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
The sustainable water usage target is 50-70 liters/day. Compare your usage with this target: 
{% if user_value > 70 %}
Please note that your current water usage is above the sustainable level.
{% else %}
Congratulations! You are approaching a sustainable level of water conservation.
{% endif %}",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T2 (during, liters)",60,30,30,,0,-12.79,10.38,0,-32.6333,1.1978,< 1e-16
Vivek_4,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T2 (cooling off, liters)",60,30,30,,0,-25.97,13.81,1,-26.9333,1.3238,< 1e-16
Vivek_5,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Here are four practical and motivating tips to save water:
1. Wash fruits in a bowl instead of under running water！you can save a significant amount of water each time.
2. Turn off the tap while soaping your hands or doing laundry！each time you save 10-30 liters, which adds up quickly!
3. Try shortening your shower time！most sailors finish in under 1 minute. You'll not only save water but also have more time for other activities!
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T3 (during, liters)",60,30,30,,0,-20.09,11.57,1,-21.3933,3.4132,2.49E-09
Vivek_6,Vivek et al. (2021),Toward achieving persistent behavior change in household water conservation,2021,Water conservation,"You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.","You are participating in an water usage experiment. This is week {week_num}.
Your water usage last period is {user_value} liters/day.",Please estimate the daily household water usage (in liters per day) for this period. ,Give only one number. Do not add any words.,"C0 vs. T3 (cooling off, liters)",60,30,30,,0,-30.28,13.33,1,-28.9861,1.6276,< 1e-16
