study_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,ci_lower,ci_upper
Camilleri_4,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1.0,"You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, fuel consumption 1050 gallons per 15,000 miles; Vehicle B: Price $34789, fuel consumption 900 gallons per 15,000 miles.  ","You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, cost of gas $4200 per 15,000 miles; Vehicle B: Price $34789, cost of gas $3600 per 15,000 miles.","You want to minimize the total cost of owning and operating the vehicle, especially focusing on fuel costs. Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A","The reported mean is the proportion of times participants in each condition selected the fuel-efficient vehicle out of the total choices. (E.g., mean_control = 0.473, mean_intervention = 0.57) .",484,323,162,161,1,0.552,,0.57,,0.0363,0.0124,1,-0.1819523525110488,0.2545523525110489
Catlin_1,Catlin & Wang (2013),Recycling gone bad: When the option to recycle increases resource consumption,2013,1,environment,structure,consequence,conventional_lab,1.0,"You have been invited to evaluate a new pair of scissors. Please use the scissors and paper on the table to cut out several different shapes (such as triangles, squares, etc.). After completion, please put the waste paper fragments into the garbage bin in the room.","You have been invited to evaluate a new pair of scissors. Please use the scissors and paper on the table to cut out several different shapes (such as triangles, squares, etc.). After completion, please put the waste paper fragments into the recycling bin or garbage bin in the room, and choose a suitable container according to the nature of the waste paper. Paper placed in the recycling bin will be reused.",How much paper did you use in the evaluation task? (5 grams per piece of paper),Please report the quantity of paper used (in grams).,"The reported mean in the meta-analysis table represents the average weight (in grams) of paper used by participants in each group, as measured by the experimenters after the task was completed.",43,43,22,21,0,9.45,,27.9,,0.7139,0.099,1,0.0972117292758696,1.3305882707241303
Demarque_1,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products.,"You are purchasing groceries from an online store. For your reference, previous participants on average purchased at least six ecological products.",How many ecological products do you purchase?,Write a number. ,The reported mean in the meta-analysis table is the average number of ecological products purchased per participant in each group.,122,61,29,32,0,2.0,2.45,3.25,2.24,0.5337,0.0681,0,0.0222282552386007,1.045171744761399
Demarque_2,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products.,"You are purchasing groceries from an online store. For your reference, 90% of the participants have purchased at least five ecological product before.",How many ecological products do you purchase?,Write a number. ,The mean is calculated as the average number of ecological products selected by participants in each group.,235,78,41,37,0,1.56,2.16,2.57,2.15,0.4686,0.0528,0,0.0182345642340546,0.9189654357659454
Demarque_3,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products.,"You are purchasing groceries from an online store. For your reference, 70% of the participants have purchased at least five ecological product before.",How many ecological products do you purchase?,Write a number. ,The mean reflects the average number of ecological products chosen per participant.,235,79,41,38,0,1.56,2.16,2.29,1.84,0.3627,0.0515,0,-0.0820866109335435,0.8074866109335436
Demarque_4,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products and ecological products.,"You are purchasing groceries from an online store. For your reference, 9% of the participants have previously purchased at least five ecological product.",How many ecological products do you purchase?,Write a number. ,Mean calculated as the average number of eco-products purchased by participants.,122,60,29,31,0,2.0,2.45,2.84,2.38,0.348,0.0677,0,-0.1619674128422249,0.8579674128422249
Demarque_5,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products and ecological products.,"You are purchasing groceries from an online store. For your reference, previous participants on average purchased at least six ecological products.",How many ecological products do you purchase?,Write a number. ,Mean is the average number of ecological products chosen by participants.,235,81,41,40,0,1.56,2.16,2.22,1.83,0.3294,0.0501,0,-0.1092993126468009,0.768099312646801
Demarque_6,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products and ecological products.,"You are purchasing groceries from an online store. For your reference, 70% of the participants have purchased at least five ecological product before.",How many ecological products do you purchase?,Write a number. ,Mean is the average number of ecological products chosen by participants.,122,59,29,30,0,2.0,2.45,2.77,2.31,0.3236,0.0687,0,-0.1901199830468797,0.8373199830468797
Demarque_7,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products.,"You are purchasing groceries from an online store. For your reference, 1% of the participants have previously purchased at least five ecological product.",How many ecological products do you purchase?,Write a number. ,Means are averages across all participants.,235,81,41,40,0,1.56,2.16,1.77,1.54,0.1117,0.0495,0,-0.3243644581072381,0.5477644581072381
Demarque_8,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1.0,You are purchasing groceries from an online store. This store sells a variety of daily use products.,"You are purchasing groceries from an online store. For your reference, 9% of the participants have previously purchased at least five ecological product.",How many ecological products do you purchase?,Write a number. ,Means reflect the average number of eco-products purchased.,235,80,41,39,0,1.56,2.16,1.67,1.9,0.054,0.05,0,-0.3842612702882907,0.4922612702882907
Dickerson_1,Dickerson et al. (1992),Using cognitive dissonanace to encourage water conservation,1992,1,environment,assistance,commitment,framed_field,1.0,You are on your way to take a shower after swimming.,"As you head to the showers after swimming, a member of the university water conservation team stops you and asks, 'Do you believe in saving water?' After you agree, she shows you a pledge where over 80% of students have already signed their name to support shorter showers and turning off the water while soaping up. She invites you to join them by adding your name to a flyer that reads: “Please conserve water. Take shorter showers. Turn off the water while soaping up. I’m doing my part—so can you!” Your signed flyer will be displayed in the locker room to inspire others. By adding your name, you become a visible leader in making a difference. After signing, you proceed to the showers.",How long did you spend taking a shower this time?(You usually take a shower for about 300 seconds),Please output actual duration of your shower in seconds.,"The reported mean is the average shower duration (in seconds) for each group, measured unobtrusively by an experimenter in the shower room.",60,40,20,20,0,301.8,142.32,247.7,104.05,0.434,0.1024,0,-0.1931884750528172,1.061188475052817
Dickerson_2,Dickerson et al. (1992),Using cognitive dissonanace to encourage water conservation,1992,1,environment,assistance,reminder,framed_field,1.0,You are on your way to take a shower after swimming.,"You are on your way to take a shower after swimming. Before you enter, a member of the campus water conservation team greets you and asks if you support saving water. After you agree, she invites you to answer a few short questions to help raise awareness of daily water use: “Do you turn off the water while soaping or shampooing?” “Do you ever take longer showers than necessary?” “What do you think is a reasonable length of time for a quick, water-saving shower (in minutes)?” “On average, how long do you usually shower here at the Field House?” She thanks you for your input and reminds you: “Every second counts. A shorter shower saves both water and energy.” You realize that you should save time during your shower to conserve water resources. You then proceed to take your shower as usual.",How long did you spend taking a shower this time?(You usually take a shower for about 300 seconds),Please output actual duration of your shower in seconds.,"The reported mean is the average shower duration (in seconds) for each group, measured unobtrusively by an experimenter in the shower room.",60,40,20,20,0,301.8,142.32,248.3,146.07,0.371,0.1017,0,-0.2540410883010753,0.9960410883010752
Dinner_1,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,1,environment,structure,default,artefactual_field,1.0,"You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with incandescent bulbs, which are cheaper but less efficient. The contractor now asks: “Are you okay with the incandescent bulbs, or would you prefer to switch to compact fluorescent (CFL) bulbs, which are more expensive but energy efficient? If you want to switch, we can do so at no extra labor cost.","You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with compact fluorescent (CFL) bulbs, which are more expensive but energy efficient. The contractor now asks: “Are you okay with the CFL bulbs, or would you prefer to switch to incandescent bulbs, which are cheaper but less efficient? If you want to switch, we can do so at no extra labor cost.",Which type of light bulbs do you choose to keep in your home?,"Incandescent bulb (0), compact fluorescent lamp (CFL) bulb (1), first output a brief reason, then output a number.",The reported mean in the meta-analysis table is the proportion of participants who chose CFL bulbs (coded as 1) in each group.,126,126,63,63,1,0.19,,0.58,,0.8294,0.0345,1,0.4653528474030495,1.1934471525969506
Dinner_2,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,1,environment,structure,default,artefactual_field,1.0,"You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with incandescent bulbs, which are cheaper but less efficient. The contractor now asks: “Are you okay with the incandescent bulbs, or would you prefer to switch to compact fluorescent (CFL) bulbs, which are more expensive but energy efficient? If you want to switch, we can do so at no extra labor cost.","You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with compact fluorescent (CFL) bulbs, which are more expensive but energy efficient. The contractor now asks: “Are you okay with the CFL bulbs, or would you prefer to switch to incandescent bulbs, which are cheaper but less efficient? If you want to switch, we can do so at no extra labor cost.",Which type of light bulbs do you choose to keep in your home?,"Incandescent bulb (0), compact fluorescent lamp (CFL) bulb (1), first output a number, then output a brief reason.",The reported mean in the meta-analysis table is the proportion of participants who chose CFL bulbs (coded as 1) in each group.,190,190,95,95,1,0.202,,0.438,,0.5142,0.0217,1,0.2254792761004805,0.8029207238995194
Dinner_3,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,1,environment,structure,default,artefactual_field,1.0,"You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with incandescent bulbs, which are cheaper but less efficient. The contractor now asks: “Are you okay with the incandescent bulbs, or would you prefer to switch to compact fluorescent (CFL) bulbs, which are more expensive but energy efficient? If you want to switch, we can do so at no extra labor cost.","You have just completed major renovations in your home. The contractor informs you that all the new light fixtures have been installed with compact fluorescent (CFL) bulbs, which are more expensive but energy efficient. The contractor now asks: “Are you okay with the CFL bulbs, or would you prefer to switch to incandescent bulbs, which are cheaper but less efficient? If you want to switch, we can do so at no extra labor cost.",Which type of light bulbs do you choose to keep in your home?,"Incandescent bulb (0), compact fluorescent lamp (CFL) bulb (1).",The reported mean in the meta-analysis table is the proportion of participants who chose CFL bulbs (coded as 1) in each group.,126,126,63,63,1,0.236,,0.465,,0.4862,0.0327,1,0.1317769428540266,0.8406230571459734
Ebeling_1,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,0,environment,structure,default,natural_field,1.0,"You visit an energy provider’s website to select a new electricity contract for your household. When reviewing your contract options, you see an additional option labeled “100% green energy (+0.3 cents per unit)”. The checkbox for green energy is not pre-selected. You can choose to check this box if you wish to purchase green energy at a small extra cost, or you can leave it unchecked.","You visit an energy provider’s website to select a new electricity contract for your household. When reviewing your contract options, you see an additional option labeled “100% green energy (+0.3 cents per unit)”. The checkbox for green energy is already pre-selected. If you do not want green energy, you must uncheck the box to remove it.",Did you choose a contract that included the “100% green energy” option?,"Yes (1), No (0)","The reported mean in the meta-analysis table is the proportion of customers in each group who purchased a contract with the green energy option (“Yes” = 1, “No” = 0). The mean for the control group reflects the opt-in rate; the mean for the intervention group reflects the opt-out (default) rate.",41952,41952,20976,20976,1,0.072,,0.691,,1.4194,0.0001,1,1.3998003601545994,1.4389996398454006
Ebeling_2,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,1,environment,structure,default,artefactual_field,1.0,"You are asked to imagine shopping for a new electricity contract on a provider’s website. When reviewing your contract options, you see an additional option labeled “100% green energy (+0.3 cents per unit)”. The checkbox for green energy is not pre-selected. You can choose to check this box if you want to include green energy at a small extra cost, or you can leave it unchecked.","You are asked to imagine shopping for a new electricity contract on a provider’s website. When reviewing your contract options, you see an additional option labeled “100% green energy (+0.3 cents per unit)”. The checkbox for green energy is already pre-selected. If you do not want green energy, you must uncheck the box.",Did you choose the contract with the “100% green energy” option?,"Yes (1), No (0)","The reported mean is the proportion of participants in each group who selected the contract with the green energy option (“Yes” = 1, “No” = 0). This reflects the share choosing green energy under opt-in versus opt-out conditions.",290,290,145,145,1,0.3416,,0.938,,1.3899,0.0171,1,1.1336014517523176,1.6461985482476822
Everett_1,Everett et al. (2015),Doing good by doing nothing? The role of social norms in explaining default effects in altruistic context,2015,1,environment,structure,default,artefactual_field,1.0,"You have completed a short online task and are told that, in addition to your payment for participating, you will receive a $0.50 bonus. By default, this bonus money will be paid to you. If you would rather have this money donated to Greenpeace (an environmental charity), you can choose to do so by indicating your preference on the next page. Turn your bonus into impact — donate $0.50 to protect the planet with Greenpeace!","You have completed a short online task and are told that, in addition to your payment for participating, you will receive a $0.50 bonus. By default, this bonus money will be donated to Greenpeace (an environmental charity). If you would rather keep this money for yourself, you can choose to do so by indicating your preference on the next page. Turn your bonus into impact — donate $0.50 to protect the planet with Greenpeace!",Did you choose to donate the money to Greenpeace?,"Yes (1), No (0)",The reported mean in the meta-analysis table represents the proportion of participants in each group who chose to donate to Greenpeace (coded as 1) versus keeping the money (coded as 0). Means thus reflect the fraction of “Yes” (donate) responses in each condition.,150,150,75,75,1,0.11,,0.23,,0.3242,0.027,1,0.0021450541309117,0.6462549458690883
Gong_1,Gong et al. (2017),Testing the scenario hypothesis: An experimental comparison of scenarios and forecasts for decision support in a complex decision environment,2017,1,environment,information,translation,conventional_lab,1.0,"You are asked to recommend a management strategy for your community’s fishery that balances economic (profit) and environmental (fish population) objectives under uncertainty. Using a decision support tool, you explore various strategies and see their projected results, including the expected (mean) outcome and probable range (standard deviation) for both profit and fish population. You can also choose to view extreme cases (5th–95th percentile). Please use this information to select the best fishery management strategy for your community.","You are asked to recommend a management strategy for your community’s fishery that balances economic (profit) and environmental (fish population) objectives under uncertainty. Using a decision support tool, you explore various strategies and see their projected outcomes under three distinct future scenarios: 1. Resilient Fishery & Economy 2. Resilient Fishery & Vulnerable Economy 3. Vulnerable Fishery & Economy (worst case) Each scenario represents a possible future without indicating their likelihood. Please use this scenario information to select the best fishery management strategy for your community.",Which would you prefer?,"1 = A reliable strategy with moderate returns and low variability  
0 = A strategy with the potential for significantly higher long-term returns, though outcomes may vary more depending on conditions
","The binary outcome reported in the meta-analysis reflects whether the strategy you chose was one of the four “robust high expected value (HighEV-R)” strategies, which perform well across all possible futures, including the worst case. This was coded as 1 for a robust strategy, and 0 for any other strategy. The mean values in the table indicate the proportion of participants in each condition who chose a robust strategy.",175,175,88,87,1,0.08,,0.25,,0.4737,0.0235,0,0.1732432106170474,0.7741567893829526
Handgraaf_1,Handgraaf et al. (2013),Public praise vs. private pay: Effects of rewards on energy conservation in the workplace,2013,0,environment,information,visibility,framed_field,1.0,"You go about your usual work routine in your office. This week, you did not receive any feedback or information about your energy use at work, nor did you receive any rewards or public recognition.","You carry out your usual work routine in your office. Each week, you receive a “Personal Energy Saving Report” showing how much energy you have saved compared to your baseline usage. Additionally, your energy saving performance is publicly recognized: your name, a score from 5.0 to 10.0 based on your savings, and a positive comment (e.g., “Excellent!”) are displayed in a table visible to all your colleagues. Knowing that your efforts are acknowledged and compared publicly,",how much energy did you save this week compared to last week?,"Enter the amount of energy you saved compared to last week (0–100, number only):
“__”"," • The reported mean in the meta-analysis table refers to the average percentage of energy saved compared to each participant’s baseline energy use during the three-week intervention (for both control and intervention groups).
 • Mean_control: 0.43% (SD = 4.27)
 • Mean_intervention (public social): 3.74% (SD = 6.05)
 • This value was calculated from smart plug measurements of computer energy consumption, averaged over the intervention weeks, and expressed as a percentage difference from baseline.",32,32,16,16,0,0.43,4.27,3.74,6.05,0.6321,0.1312,0,-0.0778291494755439,1.342029149475544
